run_id,condition,bot,replication,session,taille_m_s,taille_m_s1,entrees_m_s,entrees_m_s1,ajouts,suppressions,elagages,overflows,n_flags_deobf
AE-station-r3,AE,Station,3,0,0,695,0,1,1,0,0,0,1
AE-station-r3,AE,Station,3,1,695,695,1,1,0,0,0,0,1
AE-station-r3,AE,Station,3,2,695,695,1,1,0,0,0,0,1
AE-station-r3,AE,Station,3,3,695,890,1,1,1,1,0,0,1
AE-station-r3,AE,Station,3,4,890,770,1,1,1,1,0,0,0
AE-station-r3,AE,Station,3,5,770,729,1,1,1,1,0,0,0
AE-station-r3,AE,Station,3,6,729,753,1,1,1,1,0,0,0
AE-station-r3,AE,Station,3,7,753,810,1,1,1,1,0,0,0
AE-station-r3,AE,Station,3,8,810,665,1,1,1,1,0,0,0
AE-station-r3,AE,Station,3,9,665,707,1,1,1,1,0,0,0
AE-station-r1,AE,Station,1,0,0,615,0,1,1,0,0,0,0
AE-station-r1,AE,Station,1,1,615,811,1,1,1,1,0,0,0
AE-station-r1,AE,Station,1,2,811,897,1,1,1,1,0,0,0
AE-station-r1,AE,Station,1,3,897,795,1,1,1,1,0,0,0
AE-station-r1,AE,Station,1,4,795,867,1,1,1,1,0,0,0
AE-station-r1,AE,Station,1,5,867,792,1,1,1,1,0,0,0
AE-station-r1,AE,Station,1,6,792,807,1,1,1,1,0,0,0
AE-station-r1,AE,Station,1,7,807,935,1,2,2,1,0,0,0
AE-station-r1,AE,Station,1,8,935,1036,2,2,1,1,0,0,0
AE-station-r1,AE,Station,1,9,1036,1557,2,2,1,1,0,0,0
AE-over-folder-r3,AE,Over-folder,3,0,0,685,0,1,1,0,0,0,0
AE-over-folder-r3,AE,Over-folder,3,1,685,589,1,1,1,1,0,0,0
AE-over-folder-r3,AE,Over-folder,3,2,589,590,1,1,1,1,0,0,0
AE-over-folder-r3,AE,Over-folder,3,3,590,674,1,1,1,1,0,0,0
AE-over-folder-r3,AE,Over-folder,3,4,674,607,1,1,1,1,0,0,0
AE-over-folder-r3,AE,Over-folder,3,5,607,607,1,1,0,0,0,0,0
AE-over-folder-r3,AE,Over-folder,3,6,607,504,1,1,1,1,0,0,0
AE-over-folder-r3,AE,Over-folder,3,7,504,504,1,1,0,0,0,0,0
AE-over-folder-r3,AE,Over-folder,3,8,504,506,1,1,1,1,0,0,0
AE-over-folder-r3,AE,Over-folder,3,9,506,525,1,1,1,1,0,0,0
