run_id,condition,bot,replication,machine,graine,K,series_jouees,plateau_declare_a,version_arene,canari_reel,canari_ecriture_confirmee,canari_ecriture_bloquee_en_manche,integrite_ok,integrite_anomalies,series_controlees,tours_controles,decisions,actions_par_defaut,relances,erreurs_harnais,ecritures_intra_serie,gel_rompu,tokens_in,tokens_out,tokens_raisonnement,tokens_cache_ecrits,cout_usd,demarre_le,maj_le,dossier
AE-gto-r1,AE,GTO,1,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1709,1709,0,0,0,0,0,5208,383147,295782,3327000,1.253895,2026-08-22T10:58:22.738+00:00,2026-08-22T15:23:04.165+00:00,run-af6e4affa4ac
AE-gto-r2,AE,GTO,2,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1665,1665,0,0,0,0,0,5064,335357,260884,3134138,1.155048,2026-08-22T15:23:36.268+00:00,2026-08-22T19:09:42.674+00:00,run-98820576f4be
AE-gto-r3,AE,GTO,3,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1685,1685,0,0,0,0,0,5121,418107,336496,3176347,1.263005,2026-08-22T19:05:54.527+00:00,2026-08-22T23:00:17.346+00:00,run-d26d5466e5d5
AE-over-folder-r1,AE,Over-folder,1,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1500,1500,0,0,0,0,0,4572,156103,96730,2555752,0.815134,2026-08-22T10:57:48.818+00:00,2026-08-22T14:28:32.456+00:00,run-fd21a5b1333b
AE-over-folder-r2,AE,Over-folder,2,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1500,1500,0,0,0,0,0,4560,184196,119078,2575017,0.855725,2026-08-22T10:59:21.920+00:00,2026-08-22T16:08:38.002+00:00,run-9c0a17d3bd40
AE-over-folder-r3,AE,Over-folder,3,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1500,1500,0,0,0,0,0,4563,180818,116745,2616533,0.861363,2026-08-22T16:09:01.307+00:00,2026-08-22T19:05:33.759+00:00,run-6b5bdac0b5a9
AE-station-r1,AE,Station,1,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1500,1500,0,0,0,0,0,4590,318258,231959,2720452,1.024904,2026-08-22T10:57:23.716+00:00,2026-08-22T14:36:47.133+00:00,run-071fde37e32d
AE-station-r2,AE,Station,2,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1500,1500,0,0,0,0,0,4566,262981,186647,2701467,0.965363,2026-08-22T10:58:57.855+00:00,2026-08-22T16:08:04.372+00:00,run-6f00c93a007e
AE-station-r3,AE,Station,3,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1500,1500,0,0,0,0,0,4575,299563,220760,2682983,0.995998,2026-08-22T16:08:32.334+00:00,2026-08-22T19:25:48.874+00:00,run-016e336ea398
ICL-over-folder-r1,ICL,Over-folder,1,victus,arene-kuhn-2026,150,10,7,0.3.0,True,True,True,True,aucune,10,1500,1500,0,0,0,0,0,4500,308189,266739,17374852,4.714451,2026-08-23T19:38:21.732+00:00,2026-08-23T23:07:28.326+00:00,run-9d4ed56450b3
